============================================================
WhisperX 전사 결과 - 학과회의.m4a
모델: large-v3-turbo
전사 시간: 114.31초
============================================================

[28.8s - 31.6s]  성원 보고 부탁드리겠습니다.
[47.0s - 47.4s]  안녕하십니까.
[48.2s - 55.0s]  26년도 맞이하여 저희가 1차 수의과 대학 학과 회의를 시작하도록 하겠습니다.
[55.0s - 56.9s]  오늘 좀
[57.5s - 70.0s]  논의하셔야 될 부분이 제법 많이 있는데 논의에 앞서서 저희가 앞으로 어떻게 학과회의를 진행할 것인가에 대해서 많이 논의를 했었는데요.
[70.0s - 79.8s]  우선적으로는 학과회의는 그 전에는 학장님이 주제를 주로 하고 그러셨는데 아무래도 교수님들도 많아지시기도 했고
[79.8s - 88.6s]  그 다음에 학과회의는 학과장님께서 주재하는 게 저는 맞다라고 생각하고 저희가 의견을 통일을 했습니다.
[89.0s - 96.2s]  그래서 특별한 사항 이외에는 학과회의는 우리 강찬근 부학장님께서 주재를 하시는 걸로 하도록 하겠습니다.
[96.2s - 99.2s]  이 점 양해 부탁드리겠습니다.
[99.3s - 103.3s]  첫 번째로 제가 긴급 현안 주제인데요.
[104.2s - 113.2s]  신구대조문표라고 학사관리규정을 나눠드린게 있습니다.
[113.2s - 119.2s]  이게 다음주 학무회의에서 논의가 될 사항인데
[120.6s - 125.9s]  내용을 보게 되면 37조의 이 항목을 다 삭제를 하는 내용입니다.
[125.9s - 139.9s]  그 이유는 만들어진 배경이 우리 학교가 중도 입퇴할율이라든가 학생수가 제적당하고 그만두는 경우가 많아서 대학교 평가에서 아주 낮은 점수를 받고 있답니다.
[139.9s - 142.8s]  그래서 이 TF팀 교무처하고에서
[143.6s - 162.6s]  그거를 타계 확인 방법 중에 하나가 37조의 2인 재입학 제한 내용을 없애자 그게 이제 결정이 났고요 그 다음에 각 학과별로 이거를 의견 조회를 했었습니다만 저희 쪽에서도 이런 자세한 내용을
[162.6s - 166.5s]  확인하지 않고 미스를 한 거죠.
[166.5s - 170.7s]  미스를 해서 의견 없음으로 가게 됐습니다.
[170.7s - 181.5s]  그래서 의견 없음으로 가게 돼서 본부 측에서는 37조의 이의사항을 다 삭제하는 걸로 계정안을 보게 되면 다 삭제된 걸로 이렇게 나오게 됐습니다.
[181.5s - 187.9s]  그런데 아직도 절차는 조금 남아 있습니다만 그래서 문제점을 좀 제가 말씀을 드리면은
[188.3s - 193.2s]  37조의 현행에 있어서 1항 생략되어 있고요.
[193.2s - 213.9s]  2항 재학연한을 초과하여 제적된 사람으로서 1년이 경과되지 않은 사람 3번 학사 징계 및 예과에서 유급으로 제적된 사람으로서 1년이 경과되지 않은 사람 4번 수의학과 및 의학과에서 징계 유급
[213.9s - 223.7s]  재학 연안 초과로 제적된 사람 이 항목을 다 삭제를 하는 걸로 지금 법제심의위원회, 학무회를 통과해서 법제심의위원회를 갈 건데
[224.7s - 229.1s]  여기서 문제가 되는 게 뭐냐면 1번은 생략됐고요.
[229.4s - 231.6s]  2번, 3번은 큰 문제는 없습니다.
